MemberID,CustomerName,EmpTitle,EmpLength,HomeOwnership,VerificationStatus,AnnualIncome,State
MB-0285,SALMAN RAZA,Sales Executive,1 year,Mortgage,Source Verified,3678400.0,Khyber Pakhtunkhwa
MB-0286,  Danish Chaudhry  ,Software Engineer,2 years,rent,Source Verified,4224200.0,Sindh
MB-0287,Komal Chaudhry,Shop Owner,< 1 year,Rent,Not Verified,2118800.0,Islamabad
MB-0288,Mahnoor Khan,Accountant,3 years,Mortgage,Not Verified,2959500.0,Punjab
MB-0289,  Sara Chatha  ,Doctor,7 years,Rent,Source Verified,3686600.0,Punjab
MB-0290,RABIA MALIK,Teacher,5 years,Own,Verified,1507600.0,Khyber Pakhtunkhwa
MB-0291,Sadia Hussain,Teacher,< 1 year,Rent,Source Verified,4086000.0,Punjab
MB-0292,  Tariq Qureshi  ,Self Employed,1 year,mortgage,Verified,4017800.0,Balochistan
MB-0293,IMRAN IQBAL,Bank Officer,7 years,Own,Not Verified,3826900.0,Islamabad
MB-0294,Junaid Qureshi,Manager,3 years,Own,Not Verified,2235700.0,Islamabad
MB-0295,mariam qureshi,Government Employee,10+ years,mortgage,Not Verified,1230600.0,Islamabad
MB-0296,  Sana Chaudhry  ,Sales Executive,< 1 year,Mortgage,Verified,1660600.0,Khyber Pakhtunkhwa
MB-0297,AMNA IQBAL,Self Employed,1 year,mortgage,Verified,966000.0,Punjab
MB-0298,RABIA CHATHA,Government Employee,7 years,Own,Not Verified,1787300.0,Punjab
MB-0299,Kashif Sheikh,Sales Executive,2 years,Rent,Source Verified,1150500.0,Islamabad
MB-0300,  Komal Iqbal  ,Teacher,7 years,Rent,Not Verified,1428500.0,Gilgit-Baltistan
MB-0301,Junaid Hussain,Sales Executive,10+ years,own,Source Verified,2760500.0,Balochistan
MB-0302,Omar Qureshi,Sales Executive,10+ years,Mortgage,Source Verified,766300.0,Balochistan
MB-0303,JUNAID FAROOQ,Nurse,2 years,Mortgage,Source Verified,2632500.0,Balochistan
MB-0304,Waqas Raza,Electrician,7 years,Mortgage,Not Verified,1073700.0,Khyber Pakhtunkhwa
MB-0305,iqra butt,Driver,3 years,Rent,Not Verified,1660200.0,Islamabad
MB-0306,DANISH SHEIKH,Bank Officer,3 years,own,Not Verified,2672700.0,Balochistan
MB-0307,  Mariam Jutt  ,Electrician,2 years,Rent,Not Verified,2473300.0,Islamabad
MB-0308,areeba hussain,Sales Executive,3 years,mortgage,Source Verified,1774600.0,Punjab
MB-0309,  Mahnoor Malik  ,Bank Officer,< 1 year,Mortgage,Not Verified,3023900.0,Islamabad
MB-0310,Bilal Jutt,Sales Executive,3 years,Mortgage,Source Verified,4076400.0,Islamabad
MB-0311,  Hassan Baig  ,Nurse,10+ years,Own,Not Verified,1840000.0,Punjab
MB-0312,  Danish Iqbal  ,Accountant,< 1 year,Rent,Source Verified,1742100.0,Islamabad
MB-0313,Adeel Chaudhry,Farmer,2 years,Rent,Verified,2031500.0,Punjab
MB-0314,  Waqas Qureshi  ,Teacher,2 years,Rent,Source Verified,3336000.0,Gilgit-Baltistan
MB-0315,Nida Khan,Doctor,7 years,Rent,Not Verified,1969800.0,Punjab
MB-0316,Imran Khan,Bank Officer,1 year,Mortgage,Source Verified,1417300.0,Gilgit-Baltistan
MB-0317,  Adeel Ansari  ,Accountant,5 years,Own,Verified,910500.0,Islamabad
MB-0318,Salman Ansari,Software Engineer,< 1 year,Own,Source Verified,2359800.0,Balochistan
MB-0319,Rabia Chaudhry,Manager,< 1 year,Rent,Not Verified,904500.0,Sindh
MB-0320,Sadia Iqbal,Software Engineer,2 years,rent,Source Verified,564700.0,Sindh
MB-0321,tariq qureshi,Software Engineer,< 1 year,Own,Source Verified,3509000.0,Punjab
MB-0322,  Tariq Khan  ,Bank Officer,1 year,own,Source Verified,3889800.0,Khyber Pakhtunkhwa
MB-0323,ali jutt,Doctor,3 years,Rent,Not Verified,4414100.0,Punjab
MB-0324,fatima hussain,Manager,7 years,Rent,Not Verified,1974100.0,Gilgit-Baltistan
MB-0325,Amna Khan,Teacher,1 year,Own,Verified,332100.0,Khyber Pakhtunkhwa
MB-0326,OMAR ANSARI,Teacher,2 years,Rent,Not Verified,1993400.0,Punjab
MB-0327,AYESHA CHAUDHRY,Farmer,1 year,Mortgage,Not Verified,1746800.0,Balochistan
MB-0328,Sara Iqbal,Shop Owner,10+ years,Own,Verified,689100.0,Khyber Pakhtunkhwa
MB-0329,Sana Chatha,Farmer,3 years,Mortgage,Verified,968700.0,Khyber Pakhtunkhwa
MB-0330,usman baig,Sales Executive,7 years,Rent,Not Verified,2420300.0,Sindh
MB-0331,Komal Farooq,Nurse,2 years,Rent,Source Verified,4457900.0,Islamabad
MB-0332,  Fatima Chaudhry  ,Farmer,1 year,Own,Verified,3147000.0,Punjab
MB-0333,SANA CHATHA,Nurse,10+ years,mortgage,Source Verified,2684300.0,Khyber Pakhtunkhwa
MB-0334,Ali Chaudhry,Nurse,1 year,Own,Source Verified,4043500.0,Punjab
MB-0335,SANA JUTT,Electrician,5 years,Mortgage,Source Verified,1607300.0,Sindh
MB-0336,mariam butt,Doctor,2 years,Mortgage,Not Verified,3555000.0,Gilgit-Baltistan
MB-0337,Komal Chatha,Self Employed,2 years,own,Source Verified,3657400.0,Gilgit-Baltistan
MB-0338,sadia jutt,Software Engineer,7 years,Rent,Verified,4499700.0,Balochistan
MB-0339,Sadia Jutt,Accountant,2 years,Own,Source Verified,3383000.0,Gilgit-Baltistan
MB-0340,mahnoor khan,Software Engineer,5 years,Own,Not Verified,956000.0,Gilgit-Baltistan
MB-0341,SARA ANSARI,Manager,7 years,Own,Verified,2694700.0,Gilgit-Baltistan
MB-0342,kashif iqbal,Manager,7 years,Rent,Verified,769900.0,Gilgit-Baltistan
MB-0343,Mariam Jutt,Self Employed,10+ years,Rent,Verified,4391300.0,Gilgit-Baltistan
MB-0344,AYESHA KHAN,Bank Officer,10+ years,Mortgage,Verified,2052400.0,Gilgit-Baltistan
MB-0345,  Omar Baig  ,Consultant,1 year,Mortgage,Not Verified,4274700.0,Balochistan
MB-0346,TARIQ JUTT,Nurse,5 years,Rent,Source Verified,2929000.0,Islamabad
MB-0347,Sara Hussain,Sales Executive,7 years,Rent,Verified,2355900.0,Sindh
MB-0348,  Sara Baig  ,Doctor,1 year,Rent,Source Verified,1291200.0,Khyber Pakhtunkhwa
MB-0349,Fatima Khan,Shop Owner,2 years,mortgage,Source Verified,1604300.0,Sindh
MB-0350,mahnoor baig,Manager,3 years,Own,Verified,2464600.0,Balochistan
MB-0006,Ahmed Qureshi,Driver,1 year,Mortgage,Not Verified,3564400.0,Balochistan
MB-0081,Mariam Baig,Sales Executive,2 years,Mortgage,Not Verified,307300.0,Khyber Pakhtunkhwa
MB-0151,  Ayesha Awan  ,Software Engineer,7 years,Mortgage,Not Verified,2631800.0,Islamabad
